SMART,R,M,BE_PROFIT,RELIABILITY,MTTF,MTBF,AVG_R,AVG_M
True,2,5,13.102156,0.9930024464745464,3.6040228346928824,4.069857821850103,61.795,12948.678236
True,2,10,13.372557,0.9962081153963968,0.1506747327915462,0.22800208270218966,99.315,13222.535204
True,2,15,13.47911,0.9970490548926823,0.03565405677756108,0.03565405677756108,161.585,13277.749312
True,2,30,15.636703,0.9981034674231329,0.011941446353336115,0.02081670707989717,499.145,15107.902338
True,2,50,20.568938,0.998590285540779,0.00437643095549284,0.00437643095549284,1299.565,19240.376612
True,3,5,13.184837,0.9821120534028394,0.6188528108371324,1.3158679921973357,61.645,12887.342596
True,3,10,13.50218,0.989213462942529,0.22918672629228976,0.6523288281703892,100.105,13256.433429
True,3,15,13.821418,0.9915823435222493,0.09005471337901982,0.25011883944221136,162.33,13542.744541
True,3,30,15.941607,0.993561247883326,0.04348831961824279,0.08005009986467446,500.3,15338.663267
True,3,50,20.54842,0.9948553136876565,0.0040734004389864475,0.0040734004389864475,1299.66,19143.044906
True,4,5,13.454412,0.9672099444684533,41.05427214685979,44.69076138073422,62.395,12950.846131
True,4,10,13.410402,0.9820468266890059,26.0727181305918,28.38439045533352,99.04,13070.602324
True,4,15,13.781989,0.9858178970487156,0.14431774823422658,0.42669465118588695,161.955,13424.57636
True,4,30,15.658413,0.9887145740765824,0.028322563648650066,0.17722800092378235,499.755,14981.945892
True,4,50,20.691592,0.9906878326872005,0.020963259933117793,0.13231643882407693,1299.58,19199.328418
False,2,5,13.045832,0.992927243773563,0.5612413018159782,0.8199781263832225,62.545,12891.016844
False,2,10,13.201749,0.9959197940890159,0.11294555653529714,0.1556512203505145,99.28,13048.602952
False,2,15,13.467675,0.9971371079699579,0.06502128864502421,0.0688590251933752,162.13,13266.988123
False,2,30,15.647662,0.9980804873421393,0.01162337202308602,0.01162337202308602,499.36,15118.266578
False,2,50,20.387137,0.9986772350274915,0.004043166123491412,0.004043166123491412,1299.505,19060.664242
False,3,5,13.341994,0.9814873551488709,0.9674450454852261,1.9190915947427851,62.345,13032.653874
False,3,10,13.375836,0.9898927057532275,0.10332419522455821,0.10332419522455821,99.645,13140.997079
False,3,15,13.624092,0.991423955140808,0.04634109323679765,0.04634109323679765,161.575,13345.676138
False,3,30,15.761526,0.9937247448233352,0.013072974415684935,0.041918708314663336,500.015,15162.602963
False,3,50,20.439911,0.9948245370613896,0.004946307882846333,0.004946307882846333,1299.345,19034.779904
False,4,5,13.568311,0.9637811590097864,43.48720723057577,46.97200394870892,62.455,13014.427705
False,4,10,13.428696,0.9829090466058519,0.13812046295113403,0.3791322706479759,99.63,13099.557267
False,4,15,14.005549,0.9861067373529473,0.05794584542435615,0.10355220466230614,162.43,13648.536286
False,4,30,15.745507,0.9892897302507047,0.012708494946133773,0.012708494946133773,498.825,15078.043491
False,4,50,20.609945,0.9904706271725221,0.004856433923159365,0.004856433923159365,1299.42,19114.125395
